City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pangnirtung,38,CA,1585526640,82.0,66.15,-65.71,-14.19,2.03
Touros,75,BR,1585526640,94.0,-5.2,-35.46,26.0,1.5
Hopkinsville,1,US,1585526641,37.0,36.87,-87.49,20.0,8.2
Puerto Ayora,20,EC,1585526641,74.0,-0.74,-90.35,28.0,5.1
Tārāpur,0,IN,1585526641,54.0,19.85,72.7,25.71,2.95
Khani,90,GE,1585526642,100.0,41.96,42.96,9.0,1.5
Allāpalli,16,IN,1585526642,48.0,19.42,80.07,27.12,2.44
Tasiilaq,100,GL,1585526529,93.0,65.61,-37.64,3.0,6.7
Fort Saint James,85,CA,1585526643,69.0,54.43,-124.25,0.48,3.76
East London,33,ZA,1585526368,83.0,-33.02,27.91,19.8,2.74
Grande Prairie,75,CA,1585526465,78.0,55.17,-118.8,-11.0,4.1
Ostrovnoy,88,RU,1585526382,94.0,68.05,39.51,-7.04,10.25
Mareeba,75,AU,1585526644,88.0,-17.0,145.43,27.22,5.1
Chui,1,UY,1585526644,91.0,-33.7,-53.46,21.99,2.78
Mt. Pleasant,1,US,1585526370,83.0,32.79,-79.86,28.0,5.69
Avera,1,US,1585526645,74.0,33.19,-82.53,29.0,3.6
Ţahţā,4,EG,1585526645,29.0,26.77,31.5,17.0,1.0
Egvekinot,99,RU,1585526386,90.0,66.32,-179.17,-15.0,2.7
São Filipe,100,CV,1585526646,81.0,14.9,-24.5,21.64,5.49
Lyngseidet,75,NO,1585526646,79.0,69.58,20.22,-4.0,14.4
Naze,75,JP,1585526647,82.0,28.37,129.48,20.0,2.1
Faanui,4,PF,1585526648,72.0,-16.48,-151.75,28.44,4.51
Shatalovo,91,RU,1585526648,87.0,54.33,32.45,1.47,7.19
Yavoriv,90,UA,1585526649,75.0,49.94,23.38,5.56,8.0
Mnogovershinnyy,98,RU,1585526649,88.0,53.94,139.92,-1.82,1.9
Hirara,20,JP,1585526649,78.0,24.8,125.28,22.0,2.1
Port Moresby,90,PG,1585526466,88.0,-9.44,147.18,28.0,4.1
Honiara,20,SB,1585526649,70.0,-9.43,159.95,31.0,1.0
Kidal,89,ML,1585526650,15.0,18.44,1.41,27.59,5.9
Havøysund,75,NO,1585526651,79.0,71.0,24.66,-4.0,15.9
Westport,90,US,1585526419,100.0,41.14,-73.36,9.0,6.7
Muravlenko,57,RU,1585526651,95.0,63.79,74.52,-5.14,5.08
Necochea,96,AR,1585526652,83.0,-38.55,-58.74,17.78,2.68
Otradnoye,2,RU,1585526652,67.0,59.78,30.82,-2.78,2.0
Leh,49,IN,1585526652,33.0,34.17,77.58,-12.39,2.06
Hamilton,1,US,1585526512,39.0,39.18,-84.53,18.0,6.2
Oranjestad,20,AW,1585526640,74.0,12.52,-70.03,28.0,9.8
São José da Coroa Grande,65,BR,1585526653,81.0,-8.9,-35.15,27.15,4.75
Ouallam,9,NE,1585526524,13.0,14.32,2.09,29.77,3.38
Yamada,64,JP,1585526654,52.0,39.47,141.95,7.2,1.43
Murmashi,93,RU,1585526654,72.0,68.82,32.81,-8.0,4.0
Agadez,40,NE,1585526654,19.0,19.75,10.25,26.22,2.28
Mount Isa,0,AU,1585526655,40.0,-20.73,139.5,30.0,6.2
Price,90,US,1585526655,45.0,39.6,-110.81,7.0,4.6
Boa Vista,99,BR,1585526655,49.0,2.82,-60.67,32.0,4.1
Salinas,40,US,1585526433,55.0,36.68,-121.66,17.78,6.7
Kruisfontein,7,ZA,1585526536,75.0,-34.0,24.73,14.37,1.84
Santiago,85,CL,1585526400,36.0,-33.46,-70.65,24.0,4.6
Palmares do Sul,4,BR,1585526656,82.0,-30.26,-50.51,22.41,3.14
Bathsheba,40,BB,1585526656,65.0,13.22,-59.52,26.0,8.7
Rafaela,58,AR,1585526657,57.0,-31.25,-61.49,24.44,1.88
Petropavlovsk-Kamchatskiy,18,RU,1585526657,89.0,53.05,158.65,0.0,3.0
Tatsunochō-tominaga,75,JP,1585526658,75.0,34.87,134.55,10.0,1.0
Arman',100,RU,1585526658,93.0,59.7,150.17,-7.34,3.01
Mahébourg,40,MU,1585526658,88.0,-20.41,57.7,27.0,3.6
Havre-St-Pierre,1,CA,1585526658,53.0,50.23,-63.6,-3.0,1.0
Ixtapa,5,MX,1585526413,69.0,20.7,-105.2,26.0,5.7
Souillac,40,MU,1585526659,88.0,-20.52,57.52,27.0,3.6
Galveston,90,US,1585526659,50.0,29.37,-94.97,26.0,7.2
Vila Franca do Campo,75,PT,1585526660,76.0,37.72,-25.43,14.0,3.6
San Patricio,5,MX,1585526660,79.0,19.22,-104.7,29.0,5.1
Hobyo,63,SO,1585526660,82.0,5.35,48.53,27.88,5.26
Leningradskiy,96,RU,1585526365,87.0,69.38,178.42,-2.96,3.58
Chaozhou,90,CN,1585526661,100.0,23.67,116.64,16.0,1.7
Lithakia,20,GR,1585526661,87.0,37.72,20.83,9.0,2.95
Takoradze,97,GH,1585526538,87.0,4.88,-1.76,26.56,2.61
Mossamedes,70,AO,1585526662,72.0,-15.2,12.15,22.35,1.12
Grand-Santi,100,GF,1585526662,93.0,4.25,-54.38,23.98,1.16
Saint-Lô,54,FR,1585526663,55.0,49.12,-1.09,4.0,7.2
Caravelas,52,BR,1585526663,86.0,-17.71,-39.25,25.79,4.78
Jiaojiang,100,CN,1585526663,82.0,28.68,121.44,10.56,1.97
Psebay,100,RU,1585526663,68.0,44.12,40.81,8.84,0.86
Port-Cartier,90,CA,1585526664,54.0,50.03,-66.87,-1.67,3.1
Oriximiná,95,BR,1585526664,81.0,-1.77,-55.87,27.27,2.51
Gladstone,75,AU,1585526665,61.0,-23.85,151.25,28.0,3.1
Airai,90,TL,1585526515,50.0,-8.93,125.41,20.17,1.12
Ganzhou,81,CN,1585526666,79.0,28.82,115.43,8.59,0.84
Longyearbyen,40,SJ,1585526378,70.0,78.22,15.64,-17.0,5.1
Sarab,8,IR,1585526667,43.0,38.61,44.99,7.39,2.8
Eyl,28,SO,1585526667,78.0,7.98,49.82,26.91,3.2
Narsaq,100,GL,1585526668,91.0,60.92,-46.05,1.0,3.69
Saint Anthony,40,US,1585526668,39.0,45.02,-93.22,10.56,2.6
Sur,32,OM,1585526668,72.0,22.57,59.53,23.28,7.77
Kumul,40,CN,1585526375,43.0,42.8,93.45,4.47,4.04
Klaksvík,0,FO,1585526669,93.0,62.23,-6.59,6.0,5.7
Pāli,0,IN,1585526669,27.0,25.77,73.33,22.47,3.42
Kushmurun,63,KZ,1585526669,97.0,52.45,64.63,-4.15,4.34
Hasaki,75,JP,1585526669,75.0,35.73,140.83,7.78,4.1
Ontario,75,US,1585526556,51.0,34.06,-117.65,20.56,6.2
Brønnøysund,99,NO,1585526670,79.0,65.46,12.2,-2.0,4.1
Bonthe,35,SL,1585526671,80.0,7.53,-12.51,27.78,2.93
Jalu,97,LY,1585526671,20.0,29.03,21.55,23.57,2.79
Barrow,1,US,1585526672,63.0,71.29,-156.79,-21.0,8.7
Manaure,2,CO,1585526672,67.0,11.78,-72.44,27.09,8.88
Dalvik,90,IS,1585526672,74.0,65.97,-18.53,5.0,13.9
Nanortalik,100,GL,1585526673,92.0,60.14,-45.24,3.1,8.04
Iracoubo,100,GF,1585526673,84.0,5.48,-53.2,26.26,5.08
Richards Bay,95,ZA,1585526674,84.0,-28.78,32.04,23.51,3.47
Wahiawā,40,US,1585526633,69.0,21.5,-158.02,27.0,5.1
Buraidah,75,SA,1585526674,77.0,26.33,43.98,17.0,4.1
Kanniyākumāri,1,IN,1585526413,75.0,8.08,77.57,27.14,2.24
Inhambane,0,MZ,1585526513,66.0,-23.86,35.38,23.21,3.68
Eresós,20,GR,1585526675,76.0,39.17,25.93,10.0,2.6
Fukuechō,75,JP,1585526675,66.0,32.69,128.84,12.0,3.1
Kieta,81,PG,1585526436,66.0,-6.22,155.63,30.09,3.6
Menongue,100,AO,1585526676,64.0,-14.66,17.69,17.96,2.31
Nicoya,26,CR,1585526676,41.0,10.15,-85.45,33.0,9.3
Pacific Grove,90,US,1585526521,67.0,36.62,-121.92,17.22,4.6
Lorengau,84,PG,1585526524,74.0,-2.02,147.27,29.32,3.8
Tiksi,98,RU,1585526677,90.0,71.69,128.87,-17.42,2.01
Torbay,90,CA,1585526678,100.0,47.67,-52.73,-1.11,12.3
Zyryanka,97,RU,1585526678,93.0,65.75,150.85,-11.63,2.41
Belvedere Marittimo,77,IT,1585526678,94.0,39.62,15.86,8.89,0.45
Salalah,40,OM,1585526678,83.0,17.02,54.09,26.0,5.1
Abadan,75,TM,1585526679,82.0,38.05,58.21,13.0,3.1
Mahanje,100,TZ,1585526679,72.0,-9.93,35.33,18.77,0.47
Nome,1,US,1585526418,56.0,64.5,-165.41,-11.0,1.0
Coruripe,96,BR,1585526680,83.0,-10.13,-36.18,26.86,5.49
Viedma,0,AR,1585526612,58.0,-40.81,-63.0,15.79,3.71
Yar-Sale,38,RU,1585526680,93.0,66.83,70.83,-7.85,9.16
Karratha,21,AU,1585526453,33.0,-20.74,116.85,32.66,5.73
Vorukh,100,TJ,1585526681,32.0,39.85,70.58,7.66,1.01
Husavik,90,IS,1585526639,79.0,66.04,-17.34,5.0,13.9
Gouré,6,NE,1585526682,11.0,13.98,10.27,31.67,4.02
Fortuna,1,US,1585526682,67.0,40.6,-124.16,14.44,5.1
Vardø,40,NO,1585526682,78.0,70.37,31.11,-9.0,8.2
Anadyr,75,RU,1585526682,85.0,64.75,177.48,-7.0,16.0
Ozuluama de Mascareñas,40,MX,1585526683,83.0,21.67,-97.85,27.0,6.2
Miyako,50,JP,1585526683,53.0,39.64,141.95,6.99,1.42
Provideniya,4,RU,1585526684,66.0,64.38,-173.3,-10.0,1.0
Mweka,45,CD,1585526684,84.0,-4.85,21.57,19.14,0.4
Machico,20,PT,1585526684,77.0,32.7,-16.77,17.0,2.6
La Ronge,90,CA,1585526684,55.0,55.1,-105.28,-12.0,7.2
Dāmghān,99,IR,1585526685,53.0,36.17,54.35,8.81,1.09
Cartagena del Chairá,80,CO,1585526685,85.0,1.33,-74.84,24.47,1.7
Rocha,1,UY,1585526685,91.0,-34.48,-54.33,19.91,1.06
Porto Walter,100,BR,1585526685,92.0,-8.27,-72.74,23.03,1.22
Sīrjān,98,IR,1585526686,52.0,29.45,55.68,8.88,4.76
Agüimes,75,ES,1585526686,77.0,27.91,-15.45,17.0,1.5
Årdalstangen,100,NO,1585526686,87.0,61.24,7.7,-2.7,1.85
Yermish',100,RU,1585526687,68.0,54.77,42.27,6.56,3.44
Nador,95,MA,1585526687,67.0,35.17,-2.93,14.0,1.0
North Bend,90,US,1585526687,100.0,43.41,-124.22,13.89,5.7
Wyndham,1,US,1585526544,45.0,37.7,-77.61,29.0,3.1
Yatou,0,CN,1585526688,69.0,37.15,122.38,6.65,2.19
Pontes e Lacerda,98,BR,1585526475,85.0,-15.23,-59.34,24.1,1.04
Saldanha,0,ZA,1585526688,76.0,-33.01,17.94,14.0,3.1
Port Lincoln,69,AU,1585526689,58.0,-34.73,135.87,18.29,4.63
Jamame,59,SO,1585526689,81.0,0.07,42.75,27.74,3.32
Tezu,53,IN,1585526689,37.0,27.92,96.17,21.02,1.08
Thohoyandou,0,ZA,1585526689,45.0,-22.95,30.48,18.56,1.24
Palmer,90,US,1585526690,100.0,42.16,-72.33,8.0,3.1
Arraial do Cabo,81,BR,1585526407,82.0,-22.97,-42.03,25.44,5.27
Kaeo,10,NZ,1585526690,59.0,-35.1,173.78,22.22,0.45
Katsuura,75,JP,1585526691,70.0,35.13,140.3,8.33,5.1
Itupiranga,40,BR,1585526692,88.0,-5.13,-49.33,28.0,0.76
Ilebo,73,CD,1585526692,85.0,-4.32,20.58,21.7,0.74
Carauari,84,BR,1585526693,87.0,-4.88,-66.9,25.31,0.7
Grand Baie,40,MU,1585526693,88.0,-20.02,57.58,27.0,3.6
Olafsvik,98,IS,1585526693,86.0,64.89,-23.71,4.9,9.08
Cayenne,100,GF,1585526693,88.0,4.93,-52.33,26.0,1.0
Yabrūd,22,SY,1585526694,87.0,33.97,36.66,4.44,3.13
Kuytun,100,RU,1585526695,90.0,54.34,101.5,-4.94,4.46
Amla,31,IN,1585526695,38.0,21.93,78.12,23.15,1.6
Adrar,57,MR,1585526420,19.0,20.5,-10.07,21.42,4.38
Port-Gentil,99,GA,1585526695,80.0,-0.72,8.78,27.99,3.31
Tulum,40,MX,1585526696,65.0,20.22,-87.47,28.0,6.7
Puerto Nariño,90,CO,1585526696,100.0,-3.77,-70.38,23.0,1.0
Cherskiy,100,RU,1585526696,92.0,68.75,161.3,-3.56,7.79
Tura,0,IN,1585526697,28.0,25.52,90.22,18.25,1.43
West Plains,1,US,1585526432,25.0,36.73,-91.85,19.44,4.6
Qixingtai,76,CN,1585526697,82.0,30.41,111.89,8.89,0.27
Yining,95,CN,1585526698,79.0,29.04,114.56,8.09,0.58
Lamont,75,US,1585526698,39.0,35.26,-118.91,18.0,5.7
Étampes,96,FR,1585526699,47.0,48.43,2.15,4.0,7.7
Vizinga,100,RU,1585526699,95.0,61.07,50.1,-2.59,1.51
Kaili,99,ID,1585526699,71.0,-3.46,120.21,23.04,0.84
Clyde River,1,CA,1585526699,83.0,70.47,-68.59,-23.0,1.0
Fairbanks,1,US,1585526433,34.0,64.84,-147.72,-7.78,5.1
Turaif,0,SA,1585526700,54.0,31.67,38.66,12.0,5.1
Teshie,99,GH,1585526700,88.0,5.58,-0.11,27.0,4.1
Pahrump,40,US,1585526434,50.0,36.21,-115.98,16.11,2.6
Province of Mantua,74,IT,1585526701,58.0,45.17,10.78,14.0,2.1
Semey,5,KZ,1585526701,93.0,50.41,80.23,-6.49,3.2
Flinders,98,AU,1585526702,68.0,-34.58,150.86,22.22,3.1
Bada,5,RU,1585526702,85.0,51.39,109.87,-5.66,3.64
Buala,99,SB,1585526702,83.0,-8.14,159.59,26.74,1.95
Bucerías,5,MX,1585526702,69.0,20.75,-105.33,26.0,5.7
Davila,20,PH,1585526703,83.0,18.47,120.58,25.0,1.5
Yumen,86,CN,1585526407,39.0,40.28,97.2,2.53,1.73
Marawi,91,PH,1585526704,57.0,8.0,124.29,24.5,1.22
Ancud,75,CL,1585526704,76.0,-41.87,-73.82,11.0,2.1
Jiuquan,98,CN,1585526704,40.0,39.74,98.52,2.37,2.41
Hong Kong,40,HK,1585526478,94.0,22.29,114.16,21.67,4.6
Le Port,36,RE,1585526705,94.0,-20.94,55.29,26.0,3.6
Florianópolis,68,BR,1585526559,69.0,-27.61,-48.5,25.56,2.6
Maragogi,60,BR,1585526706,82.0,-9.01,-35.22,26.8,4.43
Bambous Virieux,40,MU,1585526419,88.0,-20.34,57.76,27.0,3.6
Nemuro,20,JP,1585526706,60.0,43.32,145.57,4.0,5.1
Tomatlán,0,MX,1585526706,46.0,19.93,-105.25,27.83,3.52
Fort Walton Beach,1,US,1585526707,83.0,30.41,-86.62,27.0,1.5
Berdigestyakh,93,RU,1585526707,95.0,62.1,126.7,-7.19,2.34
Tallahassee,40,US,1585526559,61.0,30.44,-84.28,28.0,4.6
Rieti,85,IT,1585526708,92.0,42.41,12.86,11.11,0.55
Miraflores,20,MX,1585526708,20.0,19.22,-98.81,34.0,6.2
Quatre Cocos,40,MU,1585526708,88.0,-20.21,57.76,27.0,3.6
Dikson,100,RU,1585526709,93.0,73.51,80.55,-18.03,4.89
Virginia Beach,75,US,1585526700,51.0,36.85,-75.98,29.0,6.2
Rome,90,US,1585526525,87.0,43.21,-75.46,13.33,3.6
Qeshm,90,IR,1585526710,88.0,26.96,56.27,21.0,3.1
Natal,20,BR,1585526481,94.0,-5.79,-35.21,26.0,2.1
Ponta Delgada,75,PT,1585526661,76.0,37.73,-25.67,14.0,3.6
Port Blair,80,IN,1585526712,72.0,11.67,92.75,26.71,2.38
Garoowe,12,SO,1585526712,73.0,8.41,48.48,24.26,5.05
Nuevo Progreso,34,MX,1585526712,78.0,23.17,-97.95,27.78,3.13
Shakawe,55,BW,1585526713,60.0,-18.37,21.85,19.98,1.93
Slave Lake,75,CA,1585526713,73.0,55.28,-114.77,-7.0,1.5
Whyalla,40,AU,1585526713,68.0,-33.03,137.58,18.0,0.5
Rudnaya Pristan',0,RU,1585526714,53.0,44.36,135.81,7.42,2.33
Namatanai,97,PG,1585526437,68.0,-3.67,152.43,29.04,2.03
Kavaratti,20,IN,1585526714,78.0,10.57,72.64,27.0,1.0
Vestmanna,3,FO,1585526541,93.0,62.16,-7.17,6.0,5.7
Udachny,90,RU,1585526715,92.0,66.42,112.4,-12.0,1.0
Balabac,26,PH,1585526715,72.0,7.99,117.06,28.66,5.34
San Jose,75,US,1585526478,51.0,37.34,-121.89,17.22,1.5
Belaya Gora,100,RU,1585526716,92.0,68.53,146.42,-15.91,4.61
Porto-Novo,40,BJ,1585526717,88.0,6.5,2.6,28.0,4.6
Kavieng,100,PG,1585526717,71.0,-2.57,150.8,28.93,2.35
Pangai,52,TO,1585526717,81.0,-19.8,-174.35,27.27,7.84
Mujiayingzi,0,CN,1585526717,39.0,42.12,118.78,7.49,4.01
Kaspiysk,25,RU,1585526718,63.0,42.88,47.64,3.0,3.0
Ploemeur,90,FR,1585526718,56.0,47.73,-3.43,5.0,9.8
La Santisima Trinidad,95,BO,1585526718,91.0,-14.83,-64.9,24.15,0.82
Wanning,25,CN,1585526718,83.0,18.8,110.4,26.37,5.11
Stornoway,89,GB,1585526719,81.0,58.21,-6.39,7.22,5.7
Talas,75,TR,1585526719,93.0,38.69,35.55,4.0,2.1
Saint George,40,US,1585526420,35.0,37.1,-113.58,14.44,3.1
Demyansk,100,RU,1585526720,84.0,57.64,32.47,-1.72,4.04
Hanmer Springs,97,NZ,1585526721,67.0,-42.52,172.82,13.11,1.04
Denpasar,20,ID,1585526639,94.0,-8.65,115.22,27.0,2.6
Jutaí,96,BR,1585526722,90.0,-5.18,-68.9,24.96,0.74
Kincardine,38,GB,1585526722,80.0,56.07,-3.72,5.56,2.6
Vostok,4,RU,1585526722,56.0,46.49,135.88,3.03,4.19
Baijiantan,0,CN,1585526722,69.0,45.63,85.18,0.42,3.3
Aklavik,20,CA,1585526723,58.0,68.22,-135.01,-21.0,2.1
Lavrentiya,0,RU,1585526723,88.0,65.58,-171.0,-9.71,3.18
Paracuru,20,BR,1585526723,79.0,-3.41,-39.03,29.0,3.6
Killybegs,20,IE,1585526724,78.0,54.63,-8.45,4.44,5.97
Sibu,75,MY,1585526724,100.0,2.3,111.82,25.0,1.0
Alofi,12,NU,1585526724,79.0,-19.06,-169.92,29.0,5.1
Ulladulla,100,AU,1585526725,68.0,-35.35,150.47,23.33,3.1
Soyo,100,AO,1585526725,88.0,-6.13,12.37,26.89,3.2
Korla,24,CN,1585526725,72.0,41.76,86.15,8.89,4.92
